microregiao,mesorregiao,codigo,equip_vida,ventilador_mecanico,date,confirmed,deaths,is_last,confirmed_per_100k_inhabitants,death_rate,place_type
Lavras Do Sul,Sudoeste,4311502,9,2,NA,NA,NA,NA,NA,NA,NA
Segredo,Centro Oriental,4320263,14,NA,NA,NA,NA,NA,NA,NA,NA
Ametista Do Sul,Noroeste,4300646,14,1,NA,NA,NA,NA,NA,NA,NA
Coronel Bicaco,Noroeste,4305900,6,1,NA,NA,NA,NA,NA,NA,NA
Manoel Viana,Sudoeste,4311759,3,NA,NA,NA,NA,NA,NA,NA,NA
Ibiraiaras,Noroeste,4309902,9,NA,NA,NA,NA,NA,NA,NA,NA
Iraí,Noroeste,4310504,15,1,NA,NA,NA,NA,NA,NA,NA
Palmitinho,Noroeste,4313805,38,NA,NA,NA,NA,NA,NA,NA,NA
Amaral Ferrador,Sudeste,4300638,4,NA,NA,NA,NA,NA,NA,NA,NA
Ajuricaba,Noroeste,4300208,14,2,NA,NA,NA,NA,NA,NA,NA
São José Do Ouro,Noroeste,4318606,30,2,NA,NA,NA,NA,NA,NA,NA
Erval Seco,Noroeste,4307302,1,NA,NA,NA,NA,NA,NA,NA,NA
Roque Gonzales,Noroeste,4316303,18,2,NA,NA,NA,NA,NA,NA,NA
Herval,Sudeste,4307104,15,1,NA,NA,NA,NA,NA,NA,NA
Hulha Negra,Sudoeste,4309654,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condor,Noroeste,4305702,13,1,NA,NA,NA,NA,NA,NA,NA
Maquiné,Metropolitana,4311775,4,NA,NA,NA,NA,NA,NA,NA,NA
Boa Vista Do Buricá,Noroeste,4302204,36,2,NA,NA,NA,NA,NA,NA,NA
Chuí,Sudeste,4305439,3,NA,NA,NA,NA,NA,NA,NA,NA
Faxinal Do Soturno,Centro Ocidental,4308003,66,8,NA,NA,NA,NA,NA,NA,NA
Formigueiro,Centro Ocidental,4308409,5,NA,NA,NA,NA,NA,NA,NA,NA
Augusto Pestana,Noroeste,4301503,5,NA,NA,NA,NA,NA,NA,NA,NA
Ipê,Nordeste,4310439,8,NA,NA,NA,NA,NA,NA,NA,NA
Barão De Cotegipe,Noroeste,4301701,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Clara Do Sul,Centro Oriental,4316758,15,NA,NA,NA,NA,NA,NA,NA,NA
Morro Redondo,Sudeste,4312450,6,2,NA,NA,NA,NA,NA,NA,NA
Passo Do Sobrado,Centro Oriental,4314076,5,NA,NA,NA,NA,NA,NA,NA,NA
Nova Palma,Centro Ocidental,4313102,11,1,2020-04-12,1,0,TRUE,15.35627,NA,city
Sertão Santana,Metropolitana,4320552,4,NA,NA,NA,NA,NA,NA,NA,NA
Lagoão,Noroeste,4311254,5,1,NA,NA,NA,NA,NA,NA,NA
Cambará Do Sul,Nordeste,4303608,15,1,NA,NA,NA,NA,NA,NA,NA
Morro Reuter,Metropolitana,4312476,19,4,NA,NA,NA,NA,NA,NA,NA
Santa Maria Do Herval,Metropolitana,4316956,8,NA,NA,NA,NA,NA,NA,NA,NA
Bossoroca,Noroeste,4302501,8,NA,NA,NA,NA,NA,NA,NA,NA
Alpestre,Noroeste,4300505,9,1,NA,NA,NA,NA,NA,NA,NA
Progresso,Centro Oriental,4315156,30,6,NA,NA,NA,NA,NA,NA,NA
Aratiba,Noroeste,4300901,30,NA,NA,NA,NA,NA,NA,NA,NA
Cândido Godói,Noroeste,4304309,39,2,NA,NA,NA,NA,NA,NA,NA
Barão,Metropolitana,4301651,10,1,NA,NA,NA,NA,NA,NA,NA
Independência,Noroeste,4310405,12,1,NA,NA,NA,NA,NA,NA,NA
Cerrito,Sudeste,4305124,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lindolfo Collor,Metropolitana,4311627,5,NA,NA,NA,NA,NA,NA,NA,NA
Anta Gorda,Nordeste,4300703,11,1,2020-04-12,2,0,TRUE,33.43922,NA,city
Estação,Noroeste,4307559,16,NA,NA,NA,NA,NA,NA,NA,NA
Alecrim,Noroeste,4300307,24,2,NA,NA,NA,NA,NA,NA,NA
Vale Real,Metropolitana,4322541,1,NA,NA,NA,NA,NA,NA,NA,NA
Rodeio Bonito,Noroeste,4315909,48,1,NA,NA,NA,NA,NA,NA,NA
Trindade Do Sul,Noroeste,4321956,19,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo Das Missões,Noroeste,4319307,41,4,NA,NA,NA,NA,NA,NA,NA
Picada Café,Metropolitana,4314423,7,1,NA,NA,NA,NA,NA,NA,NA
Tiradentes Do Sul,Noroeste,4321477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passa Sete,Centro Oriental,4314068,1,NA,NA,NA,NA,NA,NA,NA,NA
Araricá,Metropolitana,4300877,10,NA,NA,NA,NA,NA,NA,NA,NA
Tucunduva,Noroeste,4322103,17,2,NA,NA,NA,NA,NA,NA,NA
Sentinela Do Sul,Metropolitana,4320354,1,1,NA,NA,NA,NA,NA,NA,NA
Gaurama,Noroeste,4308706,12,NA,NA,NA,NA,NA,NA,NA,NA
Itaara,Centro Ocidental,4310538,1,NA,NA,NA,NA,NA,NA,NA,NA
Tavares,Metropolitana,4321352,7,NA,NA,NA,NA,NA,NA,NA,NA
Campina Das Missões,Noroeste,4303707,32,2,NA,NA,NA,NA,NA,NA,NA
Campinas Do Sul,Noroeste,4303806,17,2,NA,NA,NA,NA,NA,NA,NA
Machadinho,Noroeste,4311700,6,1,NA,NA,NA,NA,NA,NA,NA
Chuvisca,Metropolitana,4305447,4,NA,NA,NA,NA,NA,NA,NA,NA
São Martinho,Noroeste,4319109,20,2,NA,NA,NA,NA,NA,NA,NA
Sertão,Noroeste,4320503,16,NA,NA,NA,NA,NA,NA,NA,NA
Nova Esperança Do Sul,Centro Ocidental,4313037,3,NA,NA,NA,NA,NA,NA,NA,NA
Barracão,Noroeste,4301800,2,NA,NA,NA,NA,NA,NA,NA,NA
São Nicolau,Noroeste,4319208,5,1,NA,NA,NA,NA,NA,NA,NA
Liberato Salzano,Noroeste,4311601,12,1,NA,NA,NA,NA,NA,NA,NA
Rondinha,Noroeste,4316204,6,NA,NA,NA,NA,NA,NA,NA,NA
Selbach,Noroeste,4320305,11,NA,NA,NA,NA,NA,NA,NA,NA
Brochier,Metropolitana,4302659,3,NA,NA,NA,NA,NA,NA,NA,NA
Cacique Doble,Noroeste,4303202,9,1,NA,NA,NA,NA,NA,NA,NA
Muçum,Centro Oriental,4312609,14,1,NA,NA,NA,NA,NA,NA,NA
Erval Grande,Noroeste,4307203,2,NA,NA,NA,NA,NA,NA,NA,NA
Mata,Centro Ocidental,4312104,4,NA,NA,NA,NA,NA,NA,NA,NA
Aceguá,Sudoeste,4300034,17,1,NA,NA,NA,NA,NA,NA,NA
Caibaté,Noroeste,4303301,17,2,NA,NA,NA,NA,NA,NA,NA
Pinheirinho Do Vale,Noroeste,4314498,2,NA,NA,NA,NA,NA,NA,NA,NA
Viadutos,Noroeste,4322905,9,NA,NA,NA,NA,NA,NA,NA,NA
Miraguaí,Noroeste,4312302,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmonia,Metropolitana,4309555,7,NA,2020-04-12,3,0,TRUE,61.65228,NA,city
Caiçara,Noroeste,4303400,12,NA,NA,NA,NA,NA,NA,NA,NA
Humaitá,Noroeste,4309704,14,1,NA,NA,NA,NA,NA,NA,NA
Ciríaco,Noroeste,4305504,6,NA,NA,NA,NA,NA,NA,NA,NA
Tupandi,Metropolitana,4322251,4,NA,2020-04-12,1,0,TRUE,20.59732,NA,city
Porto Lucena,Noroeste,4315008,22,1,NA,NA,NA,NA,NA,NA,NA
Vicente Dutra,Noroeste,4323101,6,NA,NA,NA,NA,NA,NA,NA,NA
David Canabarro,Noroeste,4306304,13,1,NA,NA,NA,NA,NA,NA,NA
São José Do Hortêncio,Metropolitana,4318481,9,NA,NA,NA,NA,NA,NA,NA,NA
Ibiaçá,Noroeste,4309803,4,1,NA,NA,NA,NA,NA,NA,NA
Nova Araçá,Nordeste,4312807,4,NA,NA,NA,NA,NA,NA,NA,NA
Cerro Branco,Centro Oriental,4305132,4,NA,NA,NA,NA,NA,NA,NA,NA
São João Da Urtiga,Noroeste,4318424,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabaí,Centro Oriental,4320859,NA,NA,2020-04-12,4,0,TRUE,84.76372,NA,city
Doutor Maurício Cardoso,Noroeste,4306734,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riozinho,Metropolitana,4315750,8,NA,NA,NA,NA,NA,NA,NA,NA
Maçambará,Sudoeste,4311718,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campo Novo,Noroeste,4304002,7,NA,NA,NA,NA,NA,NA,NA,NA
Capivari Do Sul,Metropolitana,4304671,3,NA,NA,NA,NA,NA,NA,NA,NA
Tunas,Noroeste,4322152,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcelino Ramos,Noroeste,4311908,7,2,NA,NA,NA,NA,NA,NA,NA
Mato Leitão,Centro Oriental,4312153,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fazenda Vilanova,Centro Oriental,4308078,4,NA,NA,NA,NA,NA,NA,NA,NA
Maximiliano De Almeida,Noroeste,4312203,12,1,NA,NA,NA,NA,NA,NA,NA
Ibarama,Centro Oriental,4309753,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinhal Grande,Centro Ocidental,4314472,6,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza Dos Valos,Noroeste,4308458,11,NA,NA,NA,NA,NA,NA,NA,NA
Vila Maria,Noroeste,4323408,6,NA,2020-04-12,1,0,TRUE,22.94631,NA,city
Gramado Xavier,Centro Oriental,4309159,1,NA,NA,NA,NA,NA,NA,NA,NA
Três Palmeiras,Noroeste,4321857,12,NA,NA,NA,NA,NA,NA,NA,NA
