"Country" "Lat" "Long" "X4.6.20" "X4.7.20" "X4.8.20" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "SI.POV.DDAY" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "FP.CPI.TOTL.ZG" "SE.XPD.TOTL.GD.ZS" "SL.UEM.TOTL.ZS" "SE.ADT.LITR.ZS" "EG.USE.COMM.FO.ZS" "EN.POP.SLUM.UR.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SG.TIM.UWRK.FE" "SH.SGR.CRSK.ZS" "SH.SGR.PROC.P5" "SP.POP.65UP.TO.ZS" "SH.MED.BEDS.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "IE.PPI.TRAN.CD" "SI.POV.GINI" "SI.DST.10TH.10" "SI.DST.FRST.10" "SI.POV.URHC" "SI.POV.RUHC" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "GC.XPN.TOTL.GD.ZS" "SP.DYN.LE00.FE.IN.1" "GB.XPD.RSDV.GD.ZS" "SP.POP.SCIE.RD.P6" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"41" "Costa Rica" 9.7489 -83.7534 467 483 502 17.0790004730225 20.66 10 21000 79.34 1.61808784926208 99.6 27.1579362572736 4999441 1.4 2.63398496797504 33.2420840335805 2.09620256592949 7.02824 8.19099998474121 97.86379 NA 5.5 99.6887933668832 2763898445.34094 -1866153307.76786 7500924411.18614 82.557 77.354 22.1457084 8.2 3746 9.54984767296984 1.2 9.1 83.3 7.6 39730 6.63e+08 48 36.3 1.5 NA NA 5.90941790624206 19.3973474852318 30.0206153771698 82.557 NA NA 37608.67578125 2.79 34.2298205294467 97.9130630630631 16.7
"42" "Cote d'Ivoire" 7.54 -5.5471 323 349 384 53.1180000305176 49.221 142 -40000 50.779 0.487688034135766 65.6357574462891 19.6287488538239 25069229 NA 7.43307162464457 29.2470562631073 -0.883930110423883 4.36816 2.4449999332428 47.16535 NA 56 100 912856300.8215 NA NA 58.32 55.864 NA NA NA 2.85894301500285 NA 2.4 37.2 59.4 15188 471300000 NA NA NA NA NA NA NA NA 58.32 NA NA 12113.244140625 3.08 38.6552483035222 78.8340534591195 23.6
"43" "Croatia" 45.1 15.2 1222 1282 1343 8.43400001525879 43.053 8.4 -40004 56.947 3.97380490559031 100 NA 4089400 NA 2.63078562253854 51.3615432817724 0.771820346498083 NA 7.76900005340576 NA NA NA 99.7796052732656 1284360877.94773 1459036223.54372 19991304927.8836 80.9 74.9 NA 3.7 NA 20.445433012423 5.6 5.4 92.4 4 27189 NA NA NA NA NA NA 5.64641393224952 38.5868735951335 NA 80.9 NA NA 58758.2578125 3.1 29.4396105103464 73.0771979985704 8.1
"44" "Cuba" 22 -80 350 396 457 24.4270000457764 22.963 7.2 -72000 77.037 3.08099424581552 100 18.843199826991 11338138 NA 2.24848039303581 12.5931035861752 NA NA 2.25200009346008 NA NA NA 99.9999999999811 NA NA NA 80.643 76.699 NA NA NA 15.1862114171521 NA 9.6 83.7 3.7 8733.666 NA NA NA NA NA NA NA NA NA 80.643 NA NA NA 2.2 24.4599356510304 108.999596231494 8.5
"45" "Cyprus" 35.1264 33.4299 465 494 526 3.6949999332428 33.19 5.4 25000 66.81 5.26046160455096 100 NA 1189265 NA 4.06019176189083 72.2795717929557 NA NA 7.91699981689453 NA NA NA 100 5206751664.27152 -1067068304.01677 924201541.467494 82.794 78.547 NA 10.4 3057 13.7190617734483 NA 9 91.1 1.9 5456 NA NA NA NA NA NA 8.61809977457805 18.9232403187276 NA 82.794 NA NA 51596.453125 3.15 NA 128.708333333333 5.1
"46" "Czechia" 49.8175 15.473 4822 5017 5312 3.55999994277954 26.208 5.4 110057 73.792 9.16597837581982 100 12.1549884501673 10625695 NA 2.95778447296561 72.0030708959607 2.84787595918047 NA 2.47399997711182 NA 77.7345870580784 NA 99.6772126159304 8493644233.84427 860048615.269931 142511752519.564 82.6 76.5 NA 0.3 NA 19.4208768932343 6.5 7 89.9 2.7 50694 NA NA NA NA NA NA 3.44022042992777 4.31227059186259 NA 82.6 NA NA 70237.859375 3.68 16.4719593241246 137.602887852888 5.9
"47" "Denmark" 189.8634 -40.0143 4875 5266 5597 3.23600006103516 12.126 5.4 75998 87.874 5.9357124821143 100 22.7828943986714 5797446 NA 2.39132968541817 49.5945167161173 0.758131572511619 NA 4.83099985122681 NA 64.9270894675666 NA 56.9144561104444 1166205135.1967 24780873569.4533 70942078373.7473 82.9 79.2 NA 0.1 21197 19.8129526369902 2.5 8.3 89.7 3.6 NA NA NA NA NA NA NA 5.9414777290166 4.59775437271808 NA 82.9 NA NA 98470.953125 3.99 25.9267736170828 138.067301738509 4
"48" "Djibouti" 11.8251 42.5903 90 90 135 47.3919982910156 22.223 260 4501 77.777 0.803830216224396 60.2 NA 958920 NA 5.46019075866732 178.881328667234 3.31925372703833 5.55942 11.0299997329712 NA NA 65.6 100 2.65e+08 NA 454193909.718601 68.023 64 NA NA NA 4.52757937811482 NA 5.1 44.4 49.8 NA 3.96e+08 NA NA NA NA NA NA NA NA 68.023 NA NA 9836.248046875 2.63 75.2949442156877 41.3684210526316 NA
"49" "Dominica" 15.415 -61.371 15 15 15 NA 29.517 6.4 NA 70.483 1.90868678342829 100 NA 71625 NA 2.26457023430542 65.095817562071 NA NA NA NA NA NA 100 13286694.9945287 -225095301.374874 191323608.30539 NA NA NA NA NA NA NA 11.6 NA 32.9 NA NA NA NA NA NA NA 6.95363495546831 68.538006850991 NA NA NA NA NA NA NA 95.5 10.9
"50" "Dominican Republic" 18.7357 -70.1627 1828 1956 2111 14.6280002593994 18.926 45 -150000 81.074 2.11899466984248 100 29.8494659676405 10627165 0.4 6.98252758438241 28.504535080793 1.8106037704296 NA 5.82800006866455 NA NA 12.1 99.9134426224712 2744500000 -1159600000 7717561574.1843 76.99 70.609 NA 16.1 NA 7.08281747649721 NA 8.6 72.3 24.1 NA 73400000 43.7 35.2 2.3 NA NA 4.05381363470776 37.4460793296255 15.7045521406131 76.99 NA NA 36326.68359375 2.66 36.8175557007141 219.97857586421 34.6
"51" "Ecuador" -1.8312 -78.1834 3747 3747 4450 29.2800006866455 36.179 44 182000 63.821 2.75326636341217 100 27.6345957884163 17084357 3.3 1.37712702988119 23.0467920375474 0.266012515466136 NA 3.98099994659424 NA NA 36 98.3156239365569 1410435145.23622 -1488129213.64077 2158694032.4143 79.442 73.833 NA 24.4 1552 7.15728972666108 NA 5.5 72.2 12.2 53033 3.77e+08 45.4 34.4 1.6 NA NA 4.0684950486967 7.61486108501925 NA 79.442 NA NA 22303.599609375 2.88 26.5861487148008 68.7886817522951 21.3
"52" "Egypt" 26 30 1322 1450 1560 21.6429996490479 57.296 12 -190164 42.704 2.23273200470305 100 25.5652539413948 98423595 NA 5.31412103746398 29.3662955784919 9.15050222631588 NA 11.2930002212524 NA NA 10.6 100 6797600000 -6293166088.33333 41839242990.7097 73.967 69.453 NA 30.3 NA 5.22977934620923 NA 17.2 84.1 18.1 104473 4.98e+08 NA NA NA NA NA 3.79545671908511 24.6108510877487 NA 73.967 0.72388 686.71743 39313.47265625 2.82 47.7649634748908 98.8734692852479 9.7
"53" "El Salvador" 13.7942 -88.8965 69 78 93 28.9419994354248 27.977 70 -202694 72.023 0.998428943780015 99.4903869628906 17.2362891278643 6420744 1.5 2.53894979803808 48.6179529493035 0.0767130108086897 3.60075 4.34600019454956 89.0086 NA NA 100 426819833.289778 -1241754700.4564 3568810597.97393 77.417 68.006 NA 12.9 NA 8.28709000480629 NA 8.8 73.8 11.8 27601 NA 38.6 29.4 2.4 NA NA 3.86789820108477 18.1877160490933 NA 77.417 NA NA 17562.744140625 2.58 23.9316479587026 309.881467181467 22.2
"54" "Equatorial Guinea" 1.5 10 16 16 18 41.1500015258789 27.857 201 79998 72.143 4.76396715246517 67.1840972900391 NA 1308974 NA -6.12874928878162 43.3468044957638 NA NA 9.21199989318848 NA NA 66.2 100 395884364.5524 NA 48929813.6121629 59.259 57.059 NA NA NA 2.45787734677897 NA 6 35.9 62.6 19549.2208516854 NA NA NA NA NA NA NA NA NA 59.259 NA NA 56413.83984375 2.32 39.8054499842746 46.6657397504456 24.6
"55" "Eritrea" 15.1794 39.7823 31 31 33 59.3549995422363 NA 89 -199290 NA NA 48.4237899780273 NA 3213972 NA NA NA NA NA 6.5460000038147 76.57052 NA NA 100 61015000 NA NA 67.745 63.404 NA NA NA NA NA 5.1 45.2 31.3 919 NA NA NA NA NA NA NA NA NA 67.745 NA NA 4015.32397460938 2.09 NA NA 25.3
"56" "Estonia" 58.5953 25.0136 1108 1149 1185 4.97100019454956 31.12 13 19555 68.88 14.848819173174 100 NA 1320884 NA 4.76115846853359 70.7437935394783 2.27725931243518 NA 5.88199996948242 NA 13.0562153357344 NA 0 1180195916.01414 612392506.040835 755005588.304243 82.2 73.3 NA 79.6 9684 19.6263568469749 5 4.2 92.7 2.1 790 NA NA NA NA NA NA 7.59774586816587 10.2228003517302 NA 82.2 NA NA 64494.19140625 3.31 48.0341823977138 30.3861053600184 6.1
"57" "Eswatini" -26.5225 31.4659 10 10 12 14.456000328064 76.201 329 -41764 23.799 1.09840450548437 73.5262756347656 NA 1136191 NA 2.35100982006338 43.9119686281662 NA NA 22.8540000915527 88.41938 NA 32.7 100 31264218.2718227 90250293.8305522 440685903.013845 62.753 54.329 NA 11.3 NA 4.01458794083506 NA 4.5 36.7 43 NA NA NA NA NA NA NA 2.08087997275661 0.863933573703219 NA 62.753 NA NA 28880.3984375 NA NA 66.0576162790698 26.9
"58" "Ethiopia" 9.145 40.4897 44 52 55 71.0279998779297 79.237 151 150002 20.763 0.118240576234369 44.3 4.02809957786142 109224559 NA 6.81016939097316 22.798726646213 NA NA 1.78799998760223 NA NA 73.9 100 3360419368.65295 -4611293722.98811 3987464165.90059 67.784 63.997 NA NA NA 3.50113299760986 0.3 4.3 39.3 39.1 110971 NA NA NA NA NA NA 3.0744322898584 46.5352282793683 10.8064141634333 67.784 NA NA 3975.82788085938 NA 19.4003737935325 109.224559 26.7
"59" "Fiji" -17.7134 178.065 14 15 15 39.5550003051758 43.752 54 -31008 56.248 1.35007092133099 96 NA 883483 NA 3.52620937156848 NA 1.7731018246027 NA 4.15100002288818 NA NA NA 82.8031823467088 468845976.069601 -470069077.236674 947653331.857671 69.043 65.594 NA NA 1490 5.44968041263952 NA 14.7 84.4 21.6 24134 NA NA NA NA NA NA 5.16960165314811 51.3240403469038 28.2514016209073 69.043 NA NA 23569.73046875 2.35 NA 48.3570333880679 9.6
"60" "Finland" 64 26 2176 2308 2487 5.18400001525879 14.618 4.7 70000 85.382 8.66072124349448 100 23.1802176493508 5518050 NA 1.67143888071415 39.2931632352753 1.02409392963429 NA 7.2519998550415 NA 40.2079829899529 NA 0 -4878401765.03615 -4468797258.63879 10309164187.4717 84.4 78.6 NA 0.1 8850 21.7207875455222 4.4 5.6 93.2 1.4 125804 NA NA NA NA NA NA 6.66518349258762 5.27907315743818 NA 84.4 NA NA 93160.171875 3.97 27.1488368371241 18.1568556480537 4.7
"61" "France" 91.3624 59.7192 98963 110065 113959 3.5 19.556 8.9 182636 80.444 4.57318159541951 100 22.7570834232261 66987244 NA 1.72488062714211 32.1109689812119 1.10825492288292 NA 9.09899997711182 NA 46.4879708722364 NA 78.2135639205549 59857774930.3435 -19014298810.729 166483400196.79 85.7 79.5 NA 0 NA 20.0346247469881 NA 4.8 87.6 3.4 597412 NA NA NA NA NA NA 6.18840249891611 8.07752900565779 NA 85.7 NA NA 97407.5 3.84 20.2291975765162 122.338395739199 5.5
"62" "Gabon" -0.8037 11.6094 24 30 34 26.6140003204346 10.63 525 16301 89.37 2.75638178150547 92.1912002563477 NA 2119275 NA 0.835804969429503 21.5123688593313 2.06199788362745 NA 19.6060009002686 84.66716 NA 37 100 845752960.6347 NA 1321051088.57443 67.883 63.879 NA 14.7 NA 3.56390746835592 NA 6 41 32.7 NA 349600000 NA NA NA NA NA NA NA 13.7017325838068 67.883 NA NA 62350.12890625 2.16 42.9509354824403 8.22476423332169 23.2
"63" "Gambia" 13.4432 -15.3101 4 4 4 24.2730007171631 38.73 174 -15436 61.27 0.253640981758284 56.2 NA 2280102 NA 6.54702656494995 41.5109863180911 7.1157293121432 2.43275 8.89799976348877 NA NA 34.8 100 32957945.2678928 -78645905.1960736 191773260.980301 62.84 60.088 NA 41.3 NA 2.58998093938232 NA 1.9 34.3 39 625 NA NA NA NA NA NA 1.67432277078687 48.2694865019217 NA 62.84 NA NA 5417.39404296875 2.4 31.2924386085219 225.30652173913 29.7
"64" "Georgia" 42.3154 43.3569 188 196 211 40.443000793457 41.368 80 -50000 58.632 2.41646049619644 100 28.8751809166443 3731000 4.5 4.80000000000014 61.1971488341745 NA NA 14.246000289917 NA NA NA 100 1218652826.35 -1192744352.9 3289463516.7195 77.816 68.98 NA NA 5488 14.8654914310525 NA 5.8 93.7 8.7 7108 3.45e+08 36.4 27.5 2.4 NA NA 8.91481277731131 39.5431186389124 21.3987663483508 77.816 0.30457 1463.77339 21660.1640625 2.44 49.2481577648156 65.2752020714511 15.3
"65" "Germany" 51 9 103374 107663 113296 1.60300004482269 22.688 7.3 2719112 77.312 8.88937039483839 100 9.58047278695829 82927922 NA 1.52744629830981 41.254735570526 1.4456670146976 NA 3.19899988174438 NA 78.862551056755 NA 89.1743564300489 105276890168.508 289897516287.849 198027061675.403 83.5 78.6 NA 0.1 NA 21.4619619953309 NA 10.4 91.2 3.1 922648.643490196 NA NA NA NA NA NA 6.38673994407597 3.22285053527186 NA 83.5 NA NA 92717.6875 4.2 5.54038959350593 237.3709697733 4.1
"66" "Ghana" 7.9465 -1.0232 214 287 313 40.3619995117188 43.94 148 -50000 56.06 0.531371737898168 79 18.4905668363887 29767108 NA 6.26348073195742 36.4138216028432 NA 3.98944 6.78399991989136 79.03964 NA 37.9 100 2989035000 -2043923676.53035 6294851564.02725 64.503 62.437 NA 19.3 NA 3.06889800693396 NA 2.5 42.7 34.9 14373 5.5e+08 NA NA NA NA NA 5.72353595699859 4.42376536974536 NA 64.503 NA NA 11848.2451171875 2.57 18.3654162432694 130.821429199262 24.9
"67" "Greece" 39.0742 21.8243 1755 1832 1884 12.3269996643066 20.942 4.5 -80000 79.058 6.18033726778447 100 29.4155262821333 10727668 NA 1.93437082746027 36.3904688555073 0.174430106813301 NA 18.0809993743896 97.93595 82.5746351336883 NA 99.9999999998588 4025447788.57701 -6248523036.36721 7578500698.89502 84 78.9 NA 7.7 NA 21.6552720778435 4.3 4.7 86.2 3.6 144040 NA NA NA NA NA NA 4.55695193033916 26.3766965912666 46.5504416828908 84 NA NA 67037.2421875 3.2 37.2075254566635 83.2247323506594 9.2
"68" "Grenada" 12.1165 -61.679 12 12 12 NA 63.728 2.1 -1000 36.272 2.22238342730161 94.695671081543 NA 111454 NA 4.17721518987342 55.1720799500312 NA NA NA NA NA NA 100 153748019.800794 -116327736.4428 233815853.807382 74.949 70.07 NA NA NA 9.62190679562869 NA 10.7 81.3 13.7 NA NA NA NA NA NA NA 6.35955589379954 84.3383121928503 NA 74.949 NA NA NA NA NA 327.805882352941 9.3
"69" "Guatemala" 15.7835 -90.2308 70 77 87 39.3730010986328 48.946 26 -46073 51.054 1.1510008356966 93.2880935668945 16.5302406271128 17247807 NA 3.14504331729282 27.6848354752307 3.69998398008601 2.92707 2.74600005149841 NA NA 34.5 100 1051500000 6.65e+08 12583121641.7733 76.721 70.83 NA 38.2 NA 4.81207250828785 NA 10 59.2 22.1 3205 1.2e+08 NA NA NA NA NA 5.13450008473528 11.1311802061383 NA 76.721 NA NA 19070.828125 2.41 32.3779554027252 160.953779395297 16.6
"70" "Guinea" 9.9456 -9.6966 128 144 164 62.2130012512207 63.86 176 -20000 36.14 0.219671872697791 35.4412155151367 14.8467358416306 12414318 NA 6.16385332467215 53.0245859191977 NA 2.57251 3.57200002670288 NA NA 43.3 100 352760000 -190500000 1224990168.34101 61.153 60.04 NA 91.3 NA 2.92602244847935 NA 2.4 35.1 64.9 NA 1.59e+08 NA NA NA NA NA 9.93625035529261 0.188629788318182 NA 61.153 NA NA 6207.51806640625 2.2 41.0811684295341 50.5222122741332 28.2
"71" "Guinea-Bissau" 11.8037 -15.1804 18 33 33 65.9909973144531 56.64 361 -6996 43.36 0.160335468516147 26.0473480224609 NA 1874309 NA 3.79999999203385 32.4552944897155 NA NA 4.07000017166138 NA NA 82.3 100 20553776.349135 -54107891.3671534 NA 59.62 55.597 NA 67.9 NA 2.82371633615269 NA 2.4 30 54 NA NA NA NA NA NA NA 16.2559757349751 5.25980895623503 NA 59.62 NA NA 3874.31005859375 2.39 68.7091177556294 66.6539473684211 31.1
"72" "Guyana" 5 -58.75 31 33 37 24.5629997253418 73.394 83 -30001 26.606 2.63239277948073 90.864875793457 NA 779004 NA 4.10000155013697 47.1231768121411 2.0872308916202 5.88842 12.2189998626709 NA NA 33.1 99.9881773200384 1180405596.06866 -1071725155.54714 518509369.454311 72.847 66.605 NA NA NA 6.45027124309697 NA 11.6 67.6 25.1 1931 NA NA NA NA NA NA 2.63362399948619 1.75306045052141 NA 72.847 NA NA 21813.025390625 2.36 NA 3.95734823469647 24.6
"73" "Haiti" 18.9712 -72.2852 24 25 27 63.1679992675781 44.722 176 -175000 55.278 0.271140186830838 43.7525634765625 23.7051270248713 11123176 NA 1.48387978817684 58.4729311903517 NA 2.78047 13.4840002059937 NA NA 74.4 100 1.05e+08 -342991166.731597 2370915011.76722 65.454 61.139 NA 55.7 NA 4.94940384843253 NA 6.7 57.1 49.5 NA 5.7e+07 NA NA NA NA NA 10.5625286767651 34.8631710747482 NA 65.454 NA NA 4216.81005859375 2.11 42.8834760823847 403.59854862119 NA
"74" "Honduras" 15.2 -86.2419 298 305 312 44.6300010681152 42.904 37 -34000 57.096 1.05764802292736 86.5 14.2168226576168 9587522 16.5 3.74558474629505 60.3559049549425 4.36587159819272 6.0812 4.10900020599365 87.20524 NA 27.5 99.9835217097179 1442587576.2096 -1263363273.91889 4769082161.53781 77.201 72.573 NA 51.5 NA 4.69061765907812 NA 7.3 66.5 15.1 14832 87900000 52.1 39.1 0.9 NA NA 4.46381183124831 10.2277038951877 NA 77.201 NA NA 10923.404296875 2.6 24.8998555376855 85.6870319063366 16.7
"75" "Hungary" 47.1625 19.5033 744 817 895 6.77400016784668 28.649 6.4 29999 71.351 4.2655749757664 100 18.0114210723237 9768785 NA 5.09400256449817 80.5650745438455 3.3385863538201 NA 3.46399998664856 NA 69.549793691078 NA 100 -65454432832.8767 -677865387.331751 31366581856.0416 79.7 72.6 NA 35.7 NA 19.1577253832321 NA 6.9 93.8 3.6 183541 NA NA NA NA NA NA 2.57859219349514 7.15034979440386 NA 79.7 NA NA 62492.828125 3.42 25.2434030604325 107.906605545123 7.8
"76" "Iceland" 64.9631 -19.0208 1562 1586 1616 5.29300022125244 6.187 2.7 1900 93.813 6.05965740746397 100 NA 353574 NA 4.61147602956513 44.1312252976555 3.01397179156056 NA 2.95000004768372 NA 11.288868750735 NA 10.2852157949761 -434601330.215204 731283429.759972 6321213331.79507 84.1 80.4 NA 35.3 NA 14.7950925565689 NA 5.8 89.8 1.5 54653.3025910987 NA NA NA NA NA NA 15.9619688394254 25.5502920869965 30.7758044260315 84.1 NA NA 84533.7265625 3.23 NA 3.52692269326683 6.6
"77" "India" 21 78 4778 5311 5916 39.5270004272461 65.97 199 -2663434 34.03 1.72767050665838 92.6186599731445 15.4350806157941 1352617328 NA 6.81136932613997 23.6396344113843 7.65969474279253 NA 2.55100011825562 74.37299 NA 24 100 42117450737.2644 -65599439052.6676 399167159226.682 70.425 68 NA 36.8 NA 6.17995564947149 NA 10.4 62.7 29.9 1200111.363 9486170000 NA NA NA NA NA 4.0111352655606 5.42657307048889 NA 70.425 0.59738 252.70392 19588.892578125 3.18 6.19464475222521 454.938072575247 22.6
"78" "Indonesia" -0.7893 113.9213 2491 2738 2956 31.55299949646 44.675 316 -494777 55.325 1.81937838004494 98.14 13.3834074123722 267663435 4.6 5.17127032830882 22.0559700304026 3.03058664969491 NA 4.375 95.65856 NA 21.8 95.5671472610627 19703343215.2014 -31046428468.8272 120660974090.95 73.515 69.156 NA 20.2 NA 5.85716561272863 1.2 6.3 73.3 21.1 959307.381 2903430000 39 30.4 2.8 NA NA 5.37795613606031 7.47385870702564 NA 73.515 0.26542 215.99355 25804.927734375 3.15 7.10196276396912 147.75219008926 12.2
"79" "Iran" 32 53 60500 62589 64586 16.44700050354 25.102 14 -274998 74.898 8.38410110077933 100 25.9887213818331 81800269 NA NA NA NA 3.95536 11.9919996261597 NA NA NA 100 3480333000 NA NA 77.436 75.217 NA 27.9 NA 6.18457380562499 NA 9.6 81.9 12.4 228803.615779 2.35e+08 NA NA NA NA NA NA NA NA 77.436 NA NA 68776.09375 2.85 14.5200207649286 50.222420123284 20.5
"80" "Iraq" 33 44 1031 1122 1202 17.9300003051758 29.527 42 39171 70.473 4.89491703042353 100 25.0774660713542 38433600 NA -0.562745503168955 35.9484339574529 NA NA 7.90500020980835 NA NA 47.2 100 -4885100000 34369500000 64719421423.3098 72.318 68.277 NA NA NA 3.32359966279505 NA 8.8 54.7 22.5 21071 5e+08 NA NA NA NA NA 13.8107461846825 2.16032293890942 NA 72.318 NA NA 66629.1640625 2.18 25.1499973546547 88.5305700354617 20.7
"81" "Ireland" 53.1424 -7.6921 5364 5709 6074 7.91699981689453 36.83 7 118020 63.17 7.31393980771791 100 24.7537759302245 4853506 NA 8.16987093310331 89.1849891528727 0.939044481054341 NA 5.28399991989136 NA 85.3428197664443 NA 0.274091678859734 64535780983.1594 40900554448.0038 5222681912.93715 83.8 80.2 NA 1.1 NA 13.8658017012923 NA 3.2 90.6 3.1 935961 NA NA NA NA NA NA 2.17136602578505 3.13566641130987 23.2829995160592 83.8 NA NA 157287.921875 3.51 39.1859645918407 70.452983016403 4.1
"82" "Israel" 31 35 8904 9248 9404 1.40199995040894 7.58199999999999 4 50002 92.418 7.86318134790706 100 57.9236362817713 8883800 NA 3.45370251802824 29.0185324309142 0.841596533622194 NA 3.93099999427795 NA 97.3821241260262 NA 100 20788600000 9276500000.00001 115265900520.851 84.6 80.7 NA 3.9 4879 11.9769860249625 NA 9.7 85.8 3 53901 NA NA NA NA NA NA 9.10212839733564 7.42192635441192 37.027773329239 84.6 NA NA 81156.4765625 3.31 48.853406055616 410.526802218115 4.2
"83" "Italy" 43 12 132547 135586 139422 4.7519998550415 29.562 7 744713 70.438 5.27086678640296 100 18.7412006460296 60431283 NA 0.77434001307563 28.9543448380087 0.611246943765291 NA 9.21500015258789 99.15576 79.9484547354947 NA 94.7772139982593 39614439156.6484 53839134098.599 152361936421.553 85.6 81 NA 1 NA 22.7516796025077 NA 5 91.4 2.6 256596 NA NA NA NA NA NA 6.23859550712916 7.86744626582275 NA 85.6 NA NA 96468.890625 3.74 9.88970527517275 205.450747943156 5.6
"84" "Jamaica" 18.1096 -77.2975 58 63 63 22.3090000152588 44.326 2.9 -56658 55.674 2.5814458863859 99.5064468383789 NA 2934855 NA 1.94087814684517 51.0685283261114 3.89187592358255 5.40731 9.52400016784668 NA NA NA 99.9999999999574 774620603.11409 -287575331.009028 3532039680.05605 75.878 72.708 NA 14.3 NA 8.79664255070196 NA 11.3 80 12.4 1215.272 4.52e+08 NA NA NA NA NA 6.32732336588992 53.3759013135404 NA 75.878 NA NA 18143.576171875 2.52 36.0526723261591 270.993074792244 13.6
"85" "Japan" 36 138 3654 3906 4257 3.73399996757507 8.384 14 357800 91.616 9.53870610327163 100 64.6280420867611 126529100 NA 0.788455875670337 18.1928640768829 0.476973684210521 NA 2.40599989891052 NA 93.0264551074629 NA 76.7615082281987 25876986330.2024 174718680921.703 1270467038786.78 87.26 81.09 NA 0.4 NA 27.576369910355 NA 5.6 82.4 1.8 999594 NA NA NA NA NA NA 3.03615914975781 4.871737679008 NA 87.26 NA NA 77383.8984375 4.03 32.3223008102939 347.073458415624 4.1
"86" "Jordan" 31.24 36.51 349 353 358 3.86999988555908 9.021 5 51099 90.979 2.96523830754741 100 20.7370401659862 9956011 NA 1.94029220505026 54.5586978750823 NA 3.58851 14.9449996948242 98.22711 NA 12.9 100 949859154.929577 -2849859154.92958 NA 76.052 72.628 NA 11.4 2982 3.84649039799834 1.4 12.7 78.4 13.9 36127 9.4e+07 NA NA NA NA NA 6.55918569395459 41.3262661514424 NA 76.052 NA NA 38873.82421875 2.69 22.7932168226138 112.14249831043 24.4
"87" "Kazakhstan" 48.0196 66.9237 662 697 727 15.6180000305176 42.572 68 -90000 57.428 14.3631697418223 100 15.8516026510329 18276499 NA 4.09999999987123 25.2912504856636 NA 2.75095 5.42500019073486 99.78163 NA NA 87.4142305282549 213804024.55809 -288852181.077518 30976612438.5176 76.92 68.72 NA 3.8 4459 7.39184627103032 NA 6.1 86 8.8 83287 7.4e+08 NA NA NA NA NA 6.16982969184371 3.95182001514157 14.7050433078792 76.92 0.12286 666.9353 52588.8359375 2.81 17.4260191763813 6.76982590658221 17.6
"88" "Kenya" -0.0236 37.9062 158 172 179 50.9790000915527 72.97 292 -50000 27.03 0.305923721896161 63.8114700317383 10.8959973350461 51393010 NA 6.3197813635439 23.0051779768841 NA 5.32024 9.30500030517578 81.53497 NA 56 100 1625921493.6155 NA 8196864887.82406 68.244 63.539 NA 38.9 NA 2.33918661191556 NA 3.1 27.1 30.6 137602.178444667 213920000 NA NA NA NA NA NA NA NA 68.244 NA NA 8818.2744140625 2.81 31.5721355695063 90.2994166637383 27.8
"89" "Korea, South" 36 128 10284 10331 10384 4.92000007629395 18.541 66 58657 81.459 11.5703454093401 100 50.1461578887108 51635256 NA 2.66831140171185 38.9937736107049 0.38294613224406 NA 3.71399998664856 NA 81.0284758071445 NA 100 14479300000 76408500000 403082233385.987 85.7 79.7 NA 0.3 NA 14.4185558323969 11.5 6.9 79.8 2.7 526374 NA NA NA NA NA NA 5.41265395644938 2.74066915060513 NA 85.7 NA NA 72270.203125 3.61 23.6878905332168 529.652103632681 9.8
"90" "Kosovo" 42.602636 20.902977 145 170 184 NA NA NA NA NA NA 100 NA 1845300 NA 3.81331354078284 55.5775847829135 NA NA NA NA NA NA NA 318542989.390947 -600498293.816061 881167306.173398 74.2 69.8 NA NA 1558 NA NA NA NA NA NA 6.3e+07 NA NA NA NA NA NA NA NA 74.2 NA NA NA NA NA NA NA
"91" "Kuwait" 29.5 47.75 665 743 855 3.21700000762939 0 23 197600 100 25.8492292753449 100 72.2515528813535 4137309 NA 1.24601594652857 43.7670247605056 NA NA 2.16499996185303 96.05647 NA NA 100 -21377568.8207293 24049115228.234 40282453060.4129 76.364 74.584 NA NA NA 2.55047238400198 NA 12.2 72.4 6.7 46450 NA NA NA NA NA NA 20.992662623811 1.07865245178358 NA 76.364 0.06192 513.86021 119560.65625 2.86 72.2515528813535 232.172222222222 17.6
