"Country" "Lat" "Long" "X4.6.20" "X4.7.20" "X4.8.20" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "SI.POV.DDAY" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "FP.CPI.TOTL.ZG" "SE.XPD.TOTL.GD.ZS" "SL.UEM.TOTL.ZS" "SE.ADT.LITR.ZS" "EG.USE.COMM.FO.ZS" "EN.POP.SLUM.UR.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SG.TIM.UWRK.FE" "SH.SGR.CRSK.ZS" "SH.SGR.PROC.P5" "SP.POP.65UP.TO.ZS" "SH.MED.BEDS.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "IE.PPI.TRAN.CD" "SI.POV.GINI" "SI.DST.10TH.10" "SI.DST.FRST.10" "SI.POV.URHC" "SI.POV.RUHC" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "GC.XPN.TOTL.GD.ZS" "SP.DYN.LE00.FE.IN.1" "GB.XPD.RSDV.GD.ZS" "SP.POP.SCIE.RD.P6" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"21" "Bolivia" -16.2902 -63.5887 183 194 210 27.8390007019043 30.575 108 -47520 69.425 1.90636431997446 91.8 41.3356144052457 11353142 4.5 4.22362493214148 31.1211697950131 1.83954504969032 NA 3.26600003242493 NA NA 43.5 99.9991320215104 255082885.984613 -1989598183.43618 8929614182.53614 73.878 68.173 NA 24.3 NA 7.19194739218447 NA 6.8 64.5 21.8 56592 16600000 42.2 30.4 1.5 NA NA 8.57247022443529 9.3767084989034 NA 73.878 NA NA 15840.8193359375 2.36 23.0158036386824 10.4801458506416 15.5
"22" "Bosnia and Herzegovina" 43.9159 17.6791 674 764 804 16.2609996795654 51.755 25 -107926 48.245 6.38493881859933 100 NA 3323929 NA 3.62354616011993 55.7808947028023 0.562782154061303 NA 21.2180004119873 NA NA NA 99.9552350286901 488903026.034015 -750578394.081284 6808433501.27296 79.581 74.622 NA 3.2 NA 16.4703174710621 NA 9 94.5 5 NA NA NA NA NA NA NA 3.17729110607052 12.7259930289803 35.1318033511872 79.581 0.1988 471.2501 39423.4453125 2.81 21.3625961100753 64.92048828125 15.7
"23" "Botswana" -22.3285 24.6849 6 6 6 26.8390007019043 30.554 275 14999 69.446 3.3674513337553 62.8249473571777 NA 2254126 NA 4.45358456639946 37.7659524881694 NA NA 18.1919994354248 NA NA NA 100 228718290.832085 345270348.558078 6656913637.84624 71.559 65.79 NA 13.8 NA 4.22387434629301 NA 5.8 45.7 30 6774 NA NA NA NA NA NA 3.681548740744 7.8366555775719 23.638997516755 71.559 NA NA 40666.953125 NA NA 3.97742487604327 23.8
"24" "Brazil" -14.235 -51.9253 12161 14034 16170 13.039999961853 13.431 45 106000 86.569 2.61293352087838 100 41.9461931451321 209469333 4.4 1.11758734985511 14.2767004326273 3.73297621216894 NA 12.2180004119873 93.2275 NA 22.3 68.1350300575805 78162572752.95 -41539692295.48 374709673447.828 79.156 71.804 NA 12.9 13940 8.92283783244003 NA 10.4 73.9 12.8 832683 1041400000 53.9 42.5 1 NA NA 8.62714428399348 2.29983252453008 NA 79.156 NA NA 33194.62890625 2.99 11.939294933562 25.0617162430876 19.7
"25" "Brunei" 4.5353 114.7277 135 135 135 2 22.371 68 0 77.629 22.229177902672 100 NA 428962 NA 0.0522377907767719 41.964043494891 NA NA 9.24499988555908 97.21411 NA NA 0 511497137.753507 1067951167.66808 3407126454.77295 76.819 74.454 NA NA NA 4.87314756750582 2.7 13.3 84.8 9.8 11310 NA NA NA NA NA NA 10.2962198251364 2.69850388505865 NA 76.819 NA NA 170535.765625 2.71 NA 81.3969639468691 NA
"26" "Bulgaria" 42.7339 25.4858 549 577 593 9.02600002288818 24.992 22 -24001 75.008 5.87161586934993 100 18.1147333738029 7024216 NA 3.08115723374425 64.3108705743695 3.10372944796774 NA 4.81899976730347 NA NA NA 99.8946743201431 1222580000 3492220000 28711039864.6649 78.5 71.3 NA 9.8 NA 21.021914434268 NA 6 95.2 5.9 11435 7.9e+07 NA NA NA NA NA 5.41494713377715 11.6729699630456 NA 78.5 NA NA 44353.84765625 3.03 24.1504015013882 64.7035372144436 10.2
"27" "Burkina Faso" 12.2383 -1.5616 364 384 414 34.7540016174316 70.642 48 -125000 29.358 0.162018437716738 25.4737434387207 12.8161228988025 19751535 NA 6.83238810300897 37.2388430772549 -3.23181169194848 6.03609 6.14900016784668 41.22445 NA 65.8 100 480001741.8593 NA NA 61.43 59.981 NA 69.5 NA 2.40698082866355 NA 7.3 32.7 49 4270 471300000 NA NA NA NA NA NA NA 19.5321668756471 61.43 NA NA 5280.03076171875 2.62 43.6546158282195 72.1912828947368 30.5
"28" "Burma" 21.9162 95.956 22 22 22 53.1240005493164 69.421 338 -816564 30.579 0.413758590222221 69.8148365975088 12.1610820803712 53708395 NA 6.20005107153845 NA NA 1.9726 1.57500004768372 NA NA 41 100 1291196200.66864 -2137161106.25889 5646407387.45813 69.603 63.419 NA NA NA 5.78464193257209 NA 3.9 67.8 36.8 64397.9644896858 1.04e+08 NA NA NA NA NA 0.625447844166508 10.5932971498983 NA 69.603 NA NA 14095.1201171875 2.3 31.4029539397534 82.2386154835549 19.9
"29" "Burundi" -3.3731 29.9189 3 3 3 87.2870025634766 86.968 111 10003 13.032 0.0446999922899522 9.3 NA 11175378 NA 1.60993308234522 30.5033368824551 NA 5.01084 1.53799998760223 NA NA 57.9 100 983747.12499426 -362644693.882423 68126200.7714545 62.675 59.092 NA 83.9 NA 2.24694046033717 NA 5.1 32.1 41 NA NA NA NA NA NA NA 2.54060975902162 1.36791479575936 NA 62.675 NA NA 1614.05200195313 2.06 61.726409750236 435.178271028037 34.7
"30" "Cabo Verde" 16.5388 -23.0418 7 7 7 17.9750003814697 34.268 46 -6709 65.732 0.948113817341959 92.9136352539063 NA 543767 NA 5.07755082887782 68.2078053781849 1.10666656494144 NA 12.3030004501343 NA NA NA 100 107974093.736283 -94519229.6261681 606430600.295088 75.812 69.089 NA 19.8 NA 4.60932715666821 NA 2.4 70.3 16.7 1546 NA NA NA NA NA NA 7.22106468714003 53.5842255392712 NA 75.812 NA NA 15359.869140625 NA NA 134.929776674938 25
