"Country" "Lat" "Long" "X4.6.20" "X4.7.20" "X4.8.20" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "SL.UEM.TOTL.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SH.SGR.CRSK.ZS" "SP.POP.65UP.TO.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "SP.DYN.LE00.FE.IN.1" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"1" "Afghanistan" 33 65 367 423 444 28.92799949646 74.505 189 -314602 25.495 0.293946407148718 97.7 10.792339238057 37172386 1.03066005804328 41.0303127819079 1.51900005340576 100 119435105.715177 -3654730153.50141 8206682106.31946 65.656 62.701 30.4992814913844 2.58492693988024 9.2 44.1 47.9 24433.446 2.83035333921324 3.10262204071831 65.656 4916.10693359375 1.95 42.3311983623682 56.937760009803 15.1
"2" "Albania" 41.1533 20.1683 377 383 400 34.6790008544922 39.681 18 -69998 60.319 1.97876331208568 100 19.5861233031787 2866376 4.14523793594839 45.3977304984143 13.956000328064 99.9999999999643 1204383363.60476 -1010238285.34799 3893560031.06681 80.148 76.601 7.4 13.7447359109736 9 93.1 7.8 2935 25.5314674703334 48.1951679829468 80.148 31132.7109375 2.66 27.5063925379807 104.612262773723 13.6
"3" "Algeria" 28.0339 1.6596 1423 1468 1572 10.3889999389648 27.371 69 -50002 72.629 3.7355201474105 100 6.37850392208528 42228429 1.39999999999998 32.3410220592228 12.3489999771118 100 1506316885.7744 -4346689112.563 87382910154.0942 77.735 75.307 5.9 6.36249654497986 6.7 75.7 20.1 77463 4.89709441240099 5.73565293029944 77.735 55316.42578125 2.45 8.78230990288061 17.7300750711665 16.4331483662536
"4" "Andorra" 42.5063 1.5218 525 545 564 8.7560962206957 11.938 3 -14858.5855939334 88.062 5.83290621488897 100 29.7818230120627 77006 1.62934547096762 59.6803195609895 7.06835991581191 17.8244594869492 15706777179.4614 -4346689112.563 59253640169.1635 83.7417048666623 78.1495311964001 5.54313475161763 20.2749928875753 7.7 89.0308403963736 2.7 718205.530100146 6.08649477729098 6.67321706746312 84.1053262249395 84199.2656792535 3.50939006410256 22.4245933403583 163.842553191489 6.69129881916329
"5" "Angola" -11.2027 17.8739 16 17 19 42.4129981994629 34.486 355 32066 65.514 1.29030677595566 41.88623046875 25.2329115687424 30809762 -2.13349325676356 38.9086930046492 7.24599981307983 100 -5732491335.28017 7402606519.27953 15410405365.47 63.252 57.677 10.6 2.21637364776329 4.5 27.4 51.6 13978 2.94352197094216 1.3457717330498 63.252 14784.7001953125 2.05 38.515297744971 24.7130520574316 23.6
"6" "Antigua and Barbuda" 17.0608 -61.7964 15 19 19 14.5604017450684 75.401 6 0 24.599 5.74441995635358 100 17.0288534065661 96286 7.38919716232351 46.0465572009752 5.74881586736763 100 135127898.770161 -113168506.910818 328659747.502549 77.871 75.571 13.6771478649275 8.79982551980558 13.1 81.8 5 23206.966273393 10.134036918054 84.3106823458553 77.871 59194.0810245408 2.94283762531328 38.1213691406745 218.831818181818 7.9
"7" "Argentina" -38.4161 -63.6167 1554 1628 1715 0.0879999995231628 8.13 27 24000 91.87 4.78150777487432 100 43.0081024392632 44494502 -2.48179244509274 16.4199284119137 9.98499965667725 93.8528246666324 11872856662.7649 -27478773447.7785 66221501691.4418 79.726 72.924 2.5 11.1177888760774 5.9 77.6 8.8 161688 15.1346704633444 7.8567752744146 79.726 48109.37109375 2.89 36.6134837504002 16.2585100979651 14
"8" "Armenia" 40.0691 45.0382 833 853 881 30.3889999389648 36.851 31 -24989 63.149 1.89871937365811 100 36.5991186323081 2951776 5.19999999965322 53.4824517351464 17.7070007324219 100 254146163.557324 -1165303576.08295 2259321868.53197 78.165 71.115 41 11.2538176570131 6.1 93.3 11 81784.5627327009 21.933781319289 26.3171955762686 78.165 24805.095703125 2.61 57.9567675616692 103.680224798033 17.1
"9" "Australia" -255.9695 1129.8623 5797 5895 6010 3.35199999809265 13.988 6.6 791229 86.012 15.3887660194467 100 60.8680313578917 24992369 2.94033358170461 21.3876035202283 5.32800006866455 24.8935837696774 60337583596.5415 -29660388139.524 53880533420.3007 84.7 80.4 0.6 15.6564752275591 5.6 89.5 3.1 665384 13.6625909532642 14.4613912959537 84.7 92936.21875 3.75 22.2933745854429 3.24912948744283 5.6
"10" "Austria" 47.5162 14.5501 12297 12639 12942 4.1100001335144 41.703 7.1 324998 58.297 6.86986792967669 100 21.4822996671089 8847037 2.41976363780752 52.0344068166518 4.63500022888184 85.0515376653505 4220346205.72346 10798736575 23190665221.0656 84.1 79.3 0.4 19.0015664595899 6.6 92.2 2.9 130260 6.01142300861459 10.0119483521856 84.1 96643.1875 4.03 36.8497527026846 107.206926667578 5.2
