"Country" "CCode" "INome" "Indicador" "Ano"
"74" "Finland" "FIN" "Life expectancy at birth, male (years)" 78.6 "X2017"
"75" "Fiji" "FJI" "Life expectancy at birth, male (years)" 65.594 "X2017"
"76" "France" "FRA" "Life expectancy at birth, male (years)" 79.5 "X2017"
"77" "Faroe Islands" "FRO" "Life expectancy at birth, male (years)" 80.4 "X2017"
"78" "Micronesia, Fed. Sts." "FSM" "Life expectancy at birth, male (years)" 65.986 "X2017"
"79" "Gabon" "GAB" "Life expectancy at birth, male (years)" 63.879 "X2017"
"80" "United Kingdom" "GBR" "Life expectancy at birth, male (years)" 79.4 "X2017"
"81" "Georgia" "GEO" "Life expectancy at birth, male (years)" 68.98 "X2017"
"82" "Ghana" "GHA" "Life expectancy at birth, male (years)" 62.437 "X2017"
"83" "Gibraltar" "GIB" "Life expectancy at birth, male (years)" NA "X2017"
"84" "Guinea" "GIN" "Life expectancy at birth, male (years)" 60.04 "X2017"
"85" "Gambia, The" "GMB" "Life expectancy at birth, male (years)" 60.088 "X2017"
"86" "Guinea-Bissau" "GNB" "Life expectancy at birth, male (years)" 55.597 "X2017"
"87" "Equatorial Guinea" "GNQ" "Life expectancy at birth, male (years)" 57.059 "X2017"
"88" "Greece" "GRC" "Life expectancy at birth, male (years)" 78.9 "X2017"
"89" "Grenada" "GRD" "Life expectancy at birth, male (years)" 70.07 "X2017"
"90" "Greenland" "GRL" "Life expectancy at birth, male (years)" NA "X2017"
"91" "Guatemala" "GTM" "Life expectancy at birth, male (years)" 70.83 "X2017"
"92" "Guam" "GUM" "Life expectancy at birth, male (years)" 76.39 "X2017"
"93" "Guyana" "GUY" "Life expectancy at birth, male (years)" 66.605 "X2017"
"94" "High income" "HIC" "Life expectancy at birth, male (years)" 78.1579474921533 "X2017"
"95" "Hong Kong SAR, China" "HKG" "Life expectancy at birth, male (years)" 81.9 "X2017"
"96" "Honduras" "HND" "Life expectancy at birth, male (years)" 72.573 "X2017"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Life expectancy at birth, male (years)" 61.0100777296068 "X2017"
"98" "Croatia" "HRV" "Life expectancy at birth, male (years)" 74.9 "X2017"
"99" "Haiti" "HTI" "Life expectancy at birth, male (years)" 61.139 "X2017"
"100" "Hungary" "HUN" "Life expectancy at birth, male (years)" 72.6 "X2017"
"101" "IBRD only" "IBD" "Life expectancy at birth, male (years)" 70.9307145965298 "X2017"
"102" "IDA & IBRD total" "IBT" "Life expectancy at birth, male (years)" 68.7700021887115 "X2017"
"103" "IDA total" "IDA" "Life expectancy at birth, male (years)" 62.3149926503673 "X2017"
"104" "IDA blend" "IDB" "Life expectancy at birth, male (years)" 60.8233048585344 "X2017"
"105" "Indonesia" "IDN" "Life expectancy at birth, male (years)" 69.156 "X2017"
"106" "IDA only" "IDX" "Life expectancy at birth, male (years)" 63.0946720247442 "X2017"
"107" "Isle of Man" "IMN" "Life expectancy at birth, male (years)" NA "X2017"
"108" "India" "IND" "Life expectancy at birth, male (years)" 68 "X2017"
"109" "Not classified" "INX" "Life expectancy at birth, male (years)" NA "X2017"
"110" "Ireland" "IRL" "Life expectancy at birth, male (years)" 80.2 "X2017"
"111" "Iran, Islamic Rep." "IRN" "Life expectancy at birth, male (years)" 75.217 "X2017"
"112" "Iraq" "IRQ" "Life expectancy at birth, male (years)" 68.277 "X2017"
"113" "Iceland" "ISL" "Life expectancy at birth, male (years)" 80.4 "X2017"
"114" "Israel" "ISR" "Life expectancy at birth, male (years)" 80.7 "X2017"
"115" "Italy" "ITA" "Life expectancy at birth, male (years)" 81 "X2017"
"116" "Jamaica" "JAM" "Life expectancy at birth, male (years)" 72.708 "X2017"
"117" "Jordan" "JOR" "Life expectancy at birth, male (years)" 72.628 "X2017"
"118" "Japan" "JPN" "Life expectancy at birth, male (years)" 81.09 "X2017"
"119" "Kazakhstan" "KAZ" "Life expectancy at birth, male (years)" 68.72 "X2017"
"120" "Kenya" "KEN" "Life expectancy at birth, male (years)" 63.539 "X2017"
"121" "Kyrgyz Republic" "KGZ" "Life expectancy at birth, male (years)" 67.2 "X2017"
"122" "Cambodia" "KHM" "Life expectancy at birth, male (years)" 67.062 "X2017"
"123" "Kiribati" "KIR" "Life expectancy at birth, male (years)" 63.74 "X2017"
"124" "St. Kitts and Nevis" "KNA" "Life expectancy at birth, male (years)" NA "X2017"
"125" "Korea, Rep." "KOR" "Life expectancy at birth, male (years)" 79.7 "X2017"
"126" "Kuwait" "KWT" "Life expectancy at birth, male (years)" 74.584 "X2017"
"127" "Latin America & Caribbean (excluding high income)" "LAC" "Life expectancy at birth, male (years)" 71.8986601207101 "X2017"
"128" "Lao PDR" "LAO" "Life expectancy at birth, male (years)" 65.508 "X2017"
"129" "Lebanon" "LBN" "Life expectancy at birth, male (years)" 77.031 "X2017"
"130" "Liberia" "LBR" "Life expectancy at birth, male (years)" 61.911 "X2017"
"131" "Libya" "LBY" "Life expectancy at birth, male (years)" 69.672 "X2017"
"132" "St. Lucia" "LCA" "Life expectancy at birth, male (years)" 74.581 "X2017"
"133" "Latin America & Caribbean" "LCN" "Life expectancy at birth, male (years)" 72.1109871470465 "X2017"
"134" "Least developed countries: UN classification" "LDC" "Life expectancy at birth, male (years)" 62.8703090384497 "X2017"
"135" "Low income" "LIC" "Life expectancy at birth, male (years)" 61.4891894173017 "X2017"
"136" "Liechtenstein" "LIE" "Life expectancy at birth, male (years)" 80.6 "X2017"
"137" "Sri Lanka" "LKA" "Life expectancy at birth, male (years)" 73.238 "X2017"
"138" "Lower middle income" "LMC" "Life expectancy at birth, male (years)" 66.6628775648559 "X2017"
"139" "Low & middle income" "LMY" "Life expectancy at birth, male (years)" 68.71926037079 "X2017"
