"Country" "CCode" "INome" "Indicador" "Ano"
"71" "Ethiopia" "ETH" "Total reserves (includes gold, current US$)" 3987464165.90059 "X2018"
"72" "European Union" "EUU" "Total reserves (includes gold, current US$)" NA "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Total reserves (includes gold, current US$)" NA "X2018"
"74" "Finland" "FIN" "Total reserves (includes gold, current US$)" 10309164187.4717 "X2018"
"75" "Fiji" "FJI" "Total reserves (includes gold, current US$)" 947653331.857671 "X2018"
"76" "France" "FRA" "Total reserves (includes gold, current US$)" 166483400196.79 "X2018"
"77" "Faroe Islands" "FRO" "Total reserves (includes gold, current US$)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Total reserves (includes gold, current US$)" 203528219.216567 "X2018"
"79" "Gabon" "GAB" "Total reserves (includes gold, current US$)" 1321051088.57443 "X2018"
"80" "United Kingdom" "GBR" "Total reserves (includes gold, current US$)" 172657749536.315 "X2018"
"81" "Georgia" "GEO" "Total reserves (includes gold, current US$)" 3289463516.7195 "X2018"
"82" "Ghana" "GHA" "Total reserves (includes gold, current US$)" 6294851564.02725 "X2018"
"83" "Gibraltar" "GIB" "Total reserves (includes gold, current US$)" NA "X2018"
"84" "Guinea" "GIN" "Total reserves (includes gold, current US$)" 1224990168.34101 "X2018"
"85" "Gambia, The" "GMB" "Total reserves (includes gold, current US$)" 191773260.980301 "X2018"
"86" "Guinea-Bissau" "GNB" "Total reserves (includes gold, current US$)" NA "X2018"
"87" "Equatorial Guinea" "GNQ" "Total reserves (includes gold, current US$)" 48929813.6121629 "X2018"
"88" "Greece" "GRC" "Total reserves (includes gold, current US$)" 7578500698.89502 "X2018"
"89" "Grenada" "GRD" "Total reserves (includes gold, current US$)" 233815853.807382 "X2018"
"90" "Greenland" "GRL" "Total reserves (includes gold, current US$)" NA "X2018"
"91" "Guatemala" "GTM" "Total reserves (includes gold, current US$)" 12583121641.7733 "X2018"
"92" "Guam" "GUM" "Total reserves (includes gold, current US$)" NA "X2018"
"93" "Guyana" "GUY" "Total reserves (includes gold, current US$)" 518509369.454311 "X2018"
"94" "High income" "HIC" "Total reserves (includes gold, current US$)" NA "X2018"
"95" "Hong Kong SAR, China" "HKG" "Total reserves (includes gold, current US$)" 424619925347.188 "X2018"
"96" "Honduras" "HND" "Total reserves (includes gold, current US$)" 4769082161.53781 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Total reserves (includes gold, current US$)" NA "X2018"
"98" "Croatia" "HRV" "Total reserves (includes gold, current US$)" 19991304927.8836 "X2018"
"99" "Haiti" "HTI" "Total reserves (includes gold, current US$)" 2370915011.76722 "X2018"
"100" "Hungary" "HUN" "Total reserves (includes gold, current US$)" 31366581856.0416 "X2018"
"101" "IBRD only" "IBD" "Total reserves (includes gold, current US$)" NA "X2018"
"102" "IDA & IBRD total" "IBT" "Total reserves (includes gold, current US$)" NA "X2018"
"103" "IDA total" "IDA" "Total reserves (includes gold, current US$)" NA "X2018"
"104" "IDA blend" "IDB" "Total reserves (includes gold, current US$)" NA "X2018"
"105" "Indonesia" "IDN" "Total reserves (includes gold, current US$)" 120660974090.95 "X2018"
"106" "IDA only" "IDX" "Total reserves (includes gold, current US$)" NA "X2018"
"107" "Isle of Man" "IMN" "Total reserves (includes gold, current US$)" NA "X2018"
"108" "India" "IND" "Total reserves (includes gold, current US$)" 399167159226.682 "X2018"
"109" "Not classified" "INX" "Total reserves (includes gold, current US$)" NA "X2018"
"110" "Ireland" "IRL" "Total reserves (includes gold, current US$)" 5222681912.93715 "X2018"
"111" "Iran, Islamic Rep." "IRN" "Total reserves (includes gold, current US$)" NA "X2018"
"112" "Iraq" "IRQ" "Total reserves (includes gold, current US$)" 64719421423.3098 "X2018"
"113" "Iceland" "ISL" "Total reserves (includes gold, current US$)" 6321213331.79507 "X2018"
"114" "Israel" "ISR" "Total reserves (includes gold, current US$)" 115265900520.851 "X2018"
"115" "Italy" "ITA" "Total reserves (includes gold, current US$)" 152361936421.553 "X2018"
"116" "Jamaica" "JAM" "Total reserves (includes gold, current US$)" 3532039680.05605 "X2018"
"117" "Jordan" "JOR" "Total reserves (includes gold, current US$)" NA "X2018"
"118" "Japan" "JPN" "Total reserves (includes gold, current US$)" 1270467038786.78 "X2018"
"119" "Kazakhstan" "KAZ" "Total reserves (includes gold, current US$)" 30976612438.5176 "X2018"
"120" "Kenya" "KEN" "Total reserves (includes gold, current US$)" 8196864887.82406 "X2018"
"121" "Kyrgyz Republic" "KGZ" "Total reserves (includes gold, current US$)" 2156976620.36741 "X2018"
"122" "Cambodia" "KHM" "Total reserves (includes gold, current US$)" 13885663251.0401 "X2018"
"123" "Kiribati" "KIR" "Total reserves (includes gold, current US$)" NA "X2018"
"124" "St. Kitts and Nevis" "KNA" "Total reserves (includes gold, current US$)" 363216830.554272 "X2018"
"125" "Korea, Rep." "KOR" "Total reserves (includes gold, current US$)" 403082233385.987 "X2018"
"126" "Kuwait" "KWT" "Total reserves (includes gold, current US$)" 40282453060.4129 "X2018"
"127" "Latin America & Caribbean (excluding high income)" "LAC" "Total reserves (includes gold, current US$)" NA "X2018"
"128" "Lao PDR" "LAO" "Total reserves (includes gold, current US$)" 980441052.937056 "X2018"
"129" "Lebanon" "LBN" "Total reserves (includes gold, current US$)" 52380608542.3956 "X2018"
"130" "Liberia" "LBR" "Total reserves (includes gold, current US$)" 560299001.752168 "X2018"
"131" "Libya" "LBY" "Total reserves (includes gold, current US$)" 85335649782.1665 "X2018"
"132" "St. Lucia" "LCA" "Total reserves (includes gold, current US$)" 285824309.747523 "X2018"
"133" "Latin America & Caribbean" "LCN" "Total reserves (includes gold, current US$)" NA "X2018"
"134" "Least developed countries: UN classification" "LDC" "Total reserves (includes gold, current US$)" NA "X2018"
"135" "Low income" "LIC" "Total reserves (includes gold, current US$)" NA "X2018"
"136" "Liechtenstein" "LIE" "Total reserves (includes gold, current US$)" NA "X2018"
"137" "Sri Lanka" "LKA" "Total reserves (includes gold, current US$)" 6920825566.09992 "X2018"
