"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bermuda","BMU","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","0.5","","0.3","0.2","0.5","0.4","","0.9","0.5","0.6","0.8","0.9","0.8","","1.1","0.9","1","1.1","1.1","1.1","1.2","1.5","",
"Brazil","BRA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","0.8","0.8","0.8","0.9","0.9","0.9","0.7","0.6","0.6","0.8","","0.8","0.7","","0.8","0.7","0.7","0.7","0.8","","0.8","0.9","0.8","0.9","1","1","1","1","1","","1.1","1.1","1.2","1.2","1.2","1.1","1","1","",
"Barbados","BRB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","","2.7","","","","","2.7","","","","","2.7","","",
"Botswana","BWA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","","","","","1.2","","","","","","","","","0.8","","","","","","","1.1","","","","","","1.5","","","","",
"Central African Republic","CAF","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","2","","","","","1.2","","","","","","","","","","","",
"Canada","CAN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","1.7","","","","2.4","","","","","","2.6","","","","","","2.8","","","","2.9","","","2.9","","","2.8","2.7","","2.7","","","","2.6","","","2.7","","","2.7","","","2.4","","","","","","",
"Central Europe and the Baltics","CEB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
