"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bermuda","BMU","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net migration","SM.POP.NETM","","","-20760","","","","","-23150","","","","","-26620","","","","","-40130","","","","","-73670","","","","","-64260","","","","","-51670","","","","","-64330","","","","","-77720","","","","","-67700","","","","","-57620","","","","","-47520","","",
"Brazil","BRA","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","15924","","","","","106000","","",
"Barbados","BRB","Net migration","SM.POP.NETM","","","-17960","","","","","-13677","","","","","-6934","","","","","-5548","","","","","-7856","","","","","-6311","","","","","-5393","","","","","-3643","","","","","-3188","","","","","-249","","","","","-397","","","","","-397","","",
"Brunei Darussalam","BRN","Net migration","SM.POP.NETM","","","6422","","","","","10843","","","","","10886","","","","","8293","","","","","3622","","","","","3684","","","","","4770","","","","","4188","","","","","422","","","","","-2257","","","","","-901","","","","","0","","",
"Bhutan","BTN","Net migration","SM.POP.NETM","","","5000","","","","","10000","","","","","10001","","","","","10016","","","","","797","","","","","1595","","","","","-58565","","","","","143","","","","","6171","","","","","-10971","","","","","300","","","","","1600","","",
"Botswana","BWA","Net migration","SM.POP.NETM","","","-22436","","","","","-24198","","","","","3992","","","","","17744","","","","","5203","","","","","46821","","","","","24296","","","","","36443","","","","","26928","","","","","26928","","","","","-73138","","","","","14999","","",
"Central African Republic","CAF","Net migration","SM.POP.NETM","","","11930","","","","","13145","","","","","-50000","","","","","-1000","","","","","40000","","","","","-80000","","","","","50000","","","","","30000","","","","","-24405","","","","","-125614","","","","","-396129","","","","","-200000","","",
"Canada","CAN","Net migration","SM.POP.NETM","","","178691","","","","","611117","","","","","758104","","","","","420633","","","","","373939","","","","","859217","","","","","690555","","","","","783535","","","","","1052013","","","","","1326431","","","","","1241416","","","","","1210159","","",
"Central Europe and the Baltics","CEB","Net migration","SM.POP.NETM","","","81694","","","","","-200621","","","","","-123404","","","","","-129100","","","","","-321864","","","","","-657287","","","","","-1411284","","","","","-1006566","","","","","-804567","","","","","-993491","","","","","-805917","","","","","-642033","","",
"Switzerland","CHE","Net migration","SM.POP.NETM","","","277152","","","","","92978","","","","","25185","","","","","-135365","","","","","81040","","","","","130857","","","","","247406","","","","","65218","","","","","186125","","","","","344872","","","","","397267","","","","","259999","","",
"Channel Islands","CHI","Net migration","SM.POP.NETM","","","2934","","","","","3880","","","","","4250","","","","","1726","","","","","5380","","","","","6085","","","","","1170","","","","","2291","","","","","1513","","","","","5970","","","","","3570","","","","","6754","","",
"Chile","CHL","Net migration","SM.POP.NETM","","","-146900","","","","","-196500","","","","","-161260","","","","","-148300","","","","","-154520","","","","","-68650","","","","","3610","","","","","19340","","","","","42330","","","","","107169","","","","","163730","","","","","558539","","",
"China","CHN","Net migration","SM.POP.NETM","","","-1125727","","","","","-160002","","","","","-1105479","","","","","-47004","","","","","-200000","","","","","-431651","","","","","-779982","","","","","-382999","","","","","-1965578","","","","","-2178385","","","","","-1552209","","","","","-1741996","","",
"Cote d'Ivoire","CIV","Net migration","SM.POP.NETM","","","200706","","","","","200706","","","","","393042","","","","","403322","","","","","427498","","","","","319134","","","","","375000","","","","","180000","","","","","-300000","","","","","-200000","","","","","-80000","","","","","-40000","","",
"Cameroon","CMR","Net migration","SM.POP.NETM","","","0","","","","","-1000","","","","","-2500","","","","","0","","","","","-16500","","","","","-19500","","","","","-48000","","","","","-48000","","","","","-54000","","","","","-54000","","","","","-36000","","","","","-24000","","",
"Congo, Dem. Rep.","COD","Net migration","SM.POP.NETM","","","122650","","","","","242939","","","","","27450","","","","","100685","","","","","-450468","","","","","74515","","","","","1287106","","","","","-958174","","","","","-241564","","","","","-43426","","","","","15060","","","","","119303","","",
"Congo, Rep.","COG","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","-7407","","","","","2098","","","","","2000","","","","","22530","","","","","49302","","","","","51485","","","","","91771","","","","","-60000","","","","","-20000","","",
"Colombia","COL","Net migration","SM.POP.NETM","","","-306563","","","","","-338635","","","","","-380422","","","","","-419350","","","","","-370972","","","","","-324000","","","","","-287950","","","","","-259000","","","","","-231000","","","","","-195000","","","","","-193380","","","","","1023981","","",
"Comoros","COM","Net migration","SM.POP.NETM","","","-8491","","","","","-5500","","","","","-5500","","","","","10000","","","","","-4500","","","","","-4500","","","","","-3000","","","","","-6000","","","","","-10000","","","","","-10000","","","","","-10000","","","","","-10000","","",
"Cabo Verde","CPV","Net migration","SM.POP.NETM","","","-1167","","","","","4267","","","","","-34907","","","","","-27982","","","","","-20313","","","","","-27757","","","","","-6376","","","","","-5438","","","","","-9859","","","","","-11341","","","","","-8029","","","","","-6709","","",
"Costa Rica","CRI","Net migration","SM.POP.NETM","","","7905","","","","","7827","","","","","12638","","","","","17425","","","","","18876","","","","","17417","","","","","69202","","","","","89527","","","","","41792","","","","","30339","","","","","19658","","","","","21000","","",
"Caribbean small states","CSS","Net migration","SM.POP.NETM","","","-262832","","","","","-298610","","","","","-284690","","","","","-271073","","","","","-266114","","","","","-341887","","","","","-236400","","","","","-230119","","","","","-176783","","","","","-142453","","","","","-91451","","","","","-87055","","",
"Cuba","CUB","Net migration","SM.POP.NETM","","","-204043","","","","","-248423","","","","","-190000","","","","","-160000","","","","","-270000","","","","","-69999","","","","","-120006","","","","","-132839","","","","","-145629","","","","","-240000","","","","","-80000","","","","","-72000","","",
"Curacao","CUW","Net migration","SM.POP.NETM","","","-7752","","","","","-4526","","","","","-5000","","","","","-13251","","","","","-8464","","","","","-14547","","","","","-11517","","","","","-17077","","","","","-6070","","","","","15363","","","","","6817","","","","","2573","","",
"Cayman Islands","CYM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Net migration","SM.POP.NETM","","","-43025","","","","","-7843","","","","","3053","","","","","-1215","","","","","-27634","","","","","17167","","","","","43195","","","","","53260","","","","","57530","","","","","58658","","","","","22509","","","","","25000","","",
"Czech Republic","CZE","Net migration","SM.POP.NETM","","","24999","","","","","-129099","","","","","9999","","","","","9999","","","","","-52946","","","","","5671","","","","","29999","","","","","46002","","","","","47402","","","","","250889","","","","","59997","","","","","110057","","",
"Germany","DEU","Net migration","SM.POP.NETM","","","669314","","","","","871265","","","","","701731","","","","","228894","","","","","23","","","","","1683737","","","","","2628459","","","","","715944","","","","","824445","","","","","43087","","","","","1938576","","","","","2719112","","",
"Djibouti","DJI","Net migration","SM.POP.NETM","","","18000","","","","","25000","","","","","34997","","","","","91193","","","","","9999","","","","","89998","","","","","-45000","","","","","9988","","","","","-8997","","","","","-12221","","","","","6002","","","","","4501","","",
