Codigo;Municipios;Estimativas.Populacionais.2018
4312450;Morro Redondo;6621
4312476;Morro Reuter;6341
4312500;Mostardas;12486
4312609;Muçum;5292
4312617;Muitos Capões;3153
4312625;Muliterno;2022
4312658;Não-Me-Toque;17962
4312674;Nicolau Vergueiro;1901
4312708;Nonoai;12379
4312757;Nova Alvorada;3458
4312807;Nova Araçá;5059
4312906;Nova Bassano;9058
4312955;Nova Boa Vista;2120
4313003;Nova Bréscia;3305
4313011;Nova Candelária;3062
4313037;Nova Esperança do Sul;4966
4313060;Nova Hartz;20175
4313086;Nova Pádua;2641
4313102;Nova Palma;6084
4313201;Nova Petrópolis;22400
4313300;Nova Prata;25850
4313334;Nova Ramada;2455
4313359;Nova Roma do Sul;3670
4313375;Nova Santa Rita;27414
4313490;Novo Barreiro;4199
4313391;Novo Cabrais;3796
4313409;Novo Hamburgo;249721
4313425;Novo Machado;3645
4313441;Novo Tiradentes;2264
4313466;Novo Xingu;1895
4313508;Osório;46123
4313607;Paim Filho;4021
4313656;Palmares do Sul;12004
4313706;Palmeira das Missões;34855
4313805;Palmitinho;7339
4313904;Panambi;43650
4313953;Pantano Grande;10150
4314001;Paraí;7568
4314027;Paraíso do Sul;7572
4314035;Pareci Novo;4177
4314050;Parobé;55423
4314068;Passa Sete;4738
4314076;Passo do Sobrado;6347
4314100;Passo Fundo;202344
4314134;Paulo Bento;2178
4314159;Paverama;8952
4314175;Pedras Altas;2048
4314209;Pedro Osório;7941
4314308;Pejuçara;3959
4314407;Pelotas;340630
4314423;Picada Café;5687
4314456;Pinhal;2640
4314464;Pinhal da Serra;2173
4314472;Pinhal Grande;4210
4314498;Pinheirinho do Vale;4647
4314506;Pinheiro Machado;11947
4314548;Pinto Bandeira;3065
4314555;Pirapó;2610
4314605;Piratini;18990
4314704;Planalto;10623
4314753;Poço das Antas;2216
4314779;Pontão;3797
4314787;Ponte Preta;1736
4314803;Portão;35388
4314902;Porto Alegre;1465430
4315008;Porto Lucena;5101
4315057;Porto Mauá;2410
4315073;Porto Vera Cruz;1634
4315107;Porto Xavier;10405
4315131;Pouso Novo;1830
4315149;Presidente Lucena;3099
4315156;Progresso;5813
4315172;Protásio Alves;2153
4315206;Putinga;4132
4315305;Quaraí;22780
4315313;Quatro Irmãos;1693
4315321;Quevedos;2603
4315354;Quinze de Novembro;4169
4315404;Redentora;10697
4315453;Relvado;2133
4315503;Restinga Sêca;15499
4315552;Rio dos Índios;3208
4315602;Rio Grande;210610
4315701;Rio Pardo;38436
4315750;Riozinho;4313
4315800;Roca Sales;11993
4315909;Rodeio Bonito;6371
4315958;Rolador;2460
4316006;Rolante;21291
4316105;Ronda Alta;10176
4316204;Rondinha;5528
4316303;Roque Gonzales;6986
4316402;Rosário do Sul;39209
4316428;Sagrada Família;2667
4316436;Saldanha Marinho;2857
4316451;Salto do Jacuí;11368
4316477;Salvador das Missões;2937
4316501;Salvador do Sul;7543
4316600;Sananduva;16648
4316709;Santa Bárbara do Sul;8559
4316733;Santa Cecília do Sul;1713
4316758;Santa Clara do Sul;6874
4316808;Santa Cruz do Sul;130002
4316972;Santa Margarida do Sul;2464
4316907;Santa Maria;278364
4316956;Santa Maria do Herval;6532
4317004;Santana da Boa Vista;7854
4317103;Santana do Livramento;79938
4317202;Santa Rosa;75871
4317251;Santa Tereza;1760
4317301;Santa Vitória do Palmar;31208
4317400;Santiago;49743
4317509;Santo Ângelo;80624
4317608;Santo Antônio da Patrulha;42929
4317707;Santo Antônio das Missões;10809
4317558;Santo Antônio do Palma;2287
4317756;Santo Antônio do Planalto;2060
4317806;Santo Augusto;14622
4317905;Santo Cristo;14937
4317954;Santo Expedito do Sul;2517
4318002;São Borja;59661
4318051;São Domingos do Sul;3042
4318101;São Francisco de Assis;17992
4318200;São Francisco de Paula;21109
4318309;São Gabriel;61803
4318408;São Jerônimo;22710
4318424;São João da Urtiga;4712
4318432;São João do Polêsine;2730
4318440;São Jorge;2673
4318457;São José das Missões;2632
4318465;São José do Herval;2135
4318481;São José do Hortêncio;4509
4318499;São José do Inhacorá;2446
4318507;São José do Norte;26136
4318606;São José do Ouro;7125
4318622;São José dos Ausentes;3579
4318614;São José do Sul;2418
4318705;São Leopoldo;230268
4318804;São Lourenço do Sul;42926
4318903;São Luiz Gonzaga;34998
4319000;São Marcos;21181
4319109;São Martinho;6017
4319125;São Martinho da Serra;3171
4319158;São Miguel das Missões;7415
4319208;São Nicolau;5435
4319307;São Paulo das Missões;6093
4319356;São Pedro da Serra;3631
4319364;São Pedro das Missões;1865
4319372;São Pedro do Butiá;3050
4319406;São Pedro do Sul;16211
4319505;São Sebastião do Caí;23931
4319604;São Sepé;22965
4319703;São Valentim;3629
4319711;São Valentim do Sul;2352
4319737;São Valério do Sul;2997
4319752;São Vendelino;2290
4319802;São Vicente do Sul;8191
4319901;Sapiranga;81192
4320008;Sapucaia do Sul;147481
4320107;Sarandi;23438
4320206;Seberi;11795
4320230;Sede Nova;3089
4320263;Segredo;7019
4320305;Selbach;5249
4320321;Senador Salgado Filho;2891
4320354;Sentinela do Sul;5301
4320404;Serafina Corrêa;16534
4320453;Sério;2173
4320503;Sertão;6195
4320552;Sertão Santana;6225
4320578;Sete de Setembro;2156
4320602;Severiano de Almeida;3841
4320651;Silveira Martins;2501
4320677;Sinimbu;9748
4320701;Sobradinho;14833
4320800;Soledade;30566
4320859;Tabaí;4816
4320909;Tapejara;23776
4321006;Tapera;11139
4321105;Tapes;16654
4321204;Taquara;58709
4321303;Taquari;26877
4321329;Taquaruçu do Sul;3155
4321352;Tavares;5663
4321402;Tenente Portela;14142
4321436;Terra de Areia;11170
4321451;Teutônia;32620
4321469;Tio Hugo;3037
4321477;Tiradentes do Sul;5782
4321493;Toropi;2810
4321501;Torres;40289
4321600;Tramandaí;51299
4321626;Travesseiro;2528
4321634;Três Arroios;2851
4321667;Três Cachoeiras;11246
4321709;Três Coroas;26046
4321808;Três de Maio;25416
4321832;Três Forquilhas;2951
4321857;Três Palmeiras;4754
4321907;Três Passos;25962
4321956;Trindade do Sul;6132
4322004;Triunfo;26286
4322103;Tucunduva;6009
4322152;Tunas;4176
4322186;Tupanci do Sul;1479
4322202;Tupanciretã;21817
4322251;Tupandi;4917
4322301;Tuparendi;8583
4322327;Turuçu;3721
4322343;Ubiretama;2144
4322350;União da Serra;1405
4322376;Unistalda;2348
4322400;Uruguaiana;119245
4322509;Vacaria;66131
4322533;Vale do Sol;11046
4322541;Vale Real;5801
4322525;Vale Verde;3477
4322558;Vanini;2130
4322608;Venâncio Aires;69731
4322707;Vera Cruz;25878
4322806;Veranópolis;24531
4322855;Vespasiano Correa;2056
4322905;Viadutos;5177
4323002;Viamão;244699
4323101;Vicente Dutra;5153
4323200;Victor Graeff;3088
4323309;Vila Flores;3589
4323358;Vila Lângaro;2080
4323408;Vila Maria;4423
4323457;Vila Nova do Sul;3926
4323507;Vista Alegre;2863
4323606;Vista Alegre do Prata;1648
4323705;Vista Gaúcha;2885
4323754;Vitória das Missões;3389
4323770;Westfalia;3136
4323804;Xangri-lá;15858
