cnes,municipio,codigo_ibge
2223597,Caxias Do Sul,4305108
2227665,Igrejinha,4310108
2263866,Fortaleza Dos Valos,4308458
7151888,Santo Ângelo,4317509
5699525,Cacequi,4302907
2793237,Guaporé,4309407
2249669,Erechim,4307005
2252007,Marques De Souza,4312054
3913392,Sant'ana Do Livramento,4317103
6560830,Sobradinho,4320701
2234408,Sobradinho,4320701
2263858,Cruz Alta,4306106
5223962,Viamão,4323002
2246872,Casca,4304903
2235307,Chapada,4305306
2227703,Riozinho,4315750
2262274,Carazinho,4304705
2241161,Nova Prata,4313300
2241137,Carlos Barbosa,4304804
2252112,Nova Bréscia,4313003
2261987,Bagé,4301602
2227959,Montenegro,4312401
2249545,Gaurama,4308706
2246767,Sananduva,4316600
2236338,Vale Do Sol,4322533
6424236,São Jerônimo,4318408
2246929,Passo Fundo,4314100
2233339,Pedro Osório,4314209
2244330,São Francisco De Assis,4318101
2246937,David Canabarro,4306304
2261103,Chiapetta,4305405
2232022,São Leopoldo,4318705
2248204,São Gabriel,4318309
2235609,Canela,4304408
2246791,São José Do Ouro,4318606
2234467,Paraíso Do Sul,4314027
3213943,Novo Hamburgo,4313409
2246783,Tapera,4321006
2261057,Ijuí,4310207
9528792,Charqueadas,4305355
2250810,Porto Lucena,4315008
2261995,Bagé,4301602
2252694,Pelotas,4314407
2241021,Bento Gonçalves,4302105
2252074,Cruzeiro Do Sul,4306205
2707969,Capão Da Canoa,4304630
2227681,Salvador Do Sul,4316501
2252260,Estrela,4307807
2254964,Santa Cruz Do Sul,4316808
2250675,Cândido Godói,4304309
2236354,Vera Cruz,4322707
2223570,Caxias Do Sul,4305108
2228564,Alpestre,4300505
2244144,Santa Maria,4316907
